address,price
"6202 W Cassia St Boise, ID 83705","$1,750 /mo"
"6255 W Villa Park St Boise, ID 83703","$2,200 /mo"
"649 S Emily Pl Boise, ID 83709","$2,800 /mo"
"865 N 30th St N Boise, ID 83702","$2,350 /mo"
"12354 W Tevoit St Boise, ID 83709","$2,200 /mo"
"228 N Latah St Boise, ID 83706","$1,250"
"5327 N Schubert Ave Meridian, ID 83646","$2,395 /mo"
"2825 N Cajun Ln Meridian, ID 83646","$3,200"
"4928 North Ellicott Lane Garden City, ID 83714","$2,490 /mo"
"9726 W Sleepy Hollow Ln Garden City, ID 83714","$2,100 /mo"
"4890 Lake View Pl Garden City, ID 83714","$2,000 /mo"
"3082 S Hopes Well Way Atlanta, ID 83716","$3,200 /mo"
"1444 E Lone Shore Dr Eagle, ID 83616","$2,400"
"1273 E Lone Shore Dr Eagle, ID 83616","$4,500 /mo"
"8423 W Pamela St Garden City, ID 83714","$2,000 /mo"
"1080 E Martello Ln Meridian, ID 83646","$2,050 /mo"
"458 W River Trail Ct Eagle, ID 83616","$2,500 /mo"
"1939 E Ringneck St Meridian, ID 83646","$2,095 /mo"
"5350 N Beethoven Ave Meridian, ID 83646","$2,549 /mo"
"10224 Maymie Rd Garden City, ID 83714","$1,450 /mo"
"2071 E Trail Blazer Dr Meridian, ID 83646","$2,600 /mo"
