address,price
"5225-5227 E Thomas Rd, Phoenix, AZ 85018","$1,175 - 1,845"
"3848 N 3rd Ave, Phoenix, AZ 85013","$1,450 - 2,275"
"2323 W Dunlap Ave, Phoenix, AZ 85021","$1,215 - 2,055"
"4301 N 24th St, Phoenix, AZ 85016","$975 - 1,900"
"1616 N Central Ave, Phoenix, AZ 85004","$1,317 - 4,890"
"11200 W Camelback Rd, Phoenix, AZ 85037","$1,595 - 2,395"
"2322 W Thomas Rd, Phoenix, AZ 85015","$970 - 1,070"
"2928 E Osborn Rd, Phoenix, AZ 85016","$1,197 - 1,625"
"1645 E Thomas Rd, Phoenix, AZ 85016","$1,020 - 1,680"
"4950 E Van Buren St, Phoenix, AZ 85008","$1,390 - 3,005"
"8530 N 22nd Ave, Phoenix, AZ 85021","$1,100 - 1,400"
"1944 W Thunderbird Rd, Phoenix, AZ 85023","$1,088 - 3,962"
"13220 S 48th St, Phoenix, AZ 85044","$1,555 - 1,877"
"6441 W McDowell Rd, Phoenix, AZ 85035","$1,055 - 2,200"
"1010 N 48th St, Phoenix, AZ 85008","$1,340 - 1,515"
"3411 N 16th St, Phoenix, AZ 85016","$1,385 - 1,605"
"4520 E Baseline Rd, Phoenix, AZ 85042","$976 - 10,636"
"7101 N 19th Ave, Phoenix, AZ 85021","$1,145 - 1,715"
"1207 N 48th St, Phoenix, AZ 85008","$1,025"
"2252 N 44th St, Phoenix, AZ 85008","$1,310 - 1,685"
"11821 N 28th Dr, Phoenix, AZ 85029","$1,199 - 1,550"
"3802 E Baseline Rd, Phoenix, AZ 85042","$1,600 - 1,625"
"7725 W McDowell Rd, Phoenix, AZ 85035","$1,070 - 3,040"
"2020 W Glendale Ave, Phoenix, AZ 85021","$1,229 - 1,600"
"13820 S 44th St, Phoenix, AZ 85044","$1,607 - 2,179"
"1630 E Baseline Rd, Phoenix, AZ 85042","$1,450 - 1,785"
"14230-14430 N 19th Ave, Phoenix, AZ 85023","$1,090 - 2,200"
"4001 W Camelback Rd, Phoenix, AZ 85019","$945 - 1,268"
"8902 N 19th Ave, Phoenix, AZ 85021","$980 - 1,500"
"1401 N 3rd St, Phoenix, AZ 85004","$1,395 - 2,650"
"2634 N 51st Ave, Phoenix, AZ 85035","$985 - 1,355"
"1930 E Camelback Rd, Phoenix, AZ 85016","$905 - 4,379"
"5104 E Van Buren St, Phoenix, AZ 85008","$915 - 1,695"
"5128 N 15th St, Phoenix, AZ 85014","$960 - 1,695"
"9330 W McDowell Rd, Phoenix, AZ 85037","$1,225 - 1,745"
"21021 N 56th St, Phoenix, AZ 85054","$1,624 - 2,534"
"3333 W Dunlap Ave, Phoenix, AZ 85051","$1,075 - 1,275"
"3333 W Thunderbird Rd, Phoenix, AZ 85053","$999 - 1,249"
"2222 W Beardsley Rd, Phoenix, AZ 85027","$1,010 - 2,035"
"17805 N 40th St, Phoenix, AZ 85032","$1,525 - 1,612"
"1905 W Las Palmaritas Dr, Phoenix, AZ 85021","$895 - 1,350"
"6241 N 27th Ave, Phoenix, AZ 85017","$900 - 1,200"
"3708 W Northern Ave, Phoenix, AZ 85051",$759 - 889
"3030 N 35th Ave, Phoenix, AZ 85017","$800 - 1,600"
"5110 N 129th Ave, Litchfield Park, AZ 85340","$1,615 - 2,117"
"7170 E Tierra Buena Ln, Scottsdale, AZ 85254","$1,985 - 6,473"
"4949 W Northern Ave, Glendale, AZ 85301","$1,085 - 2,045"
"6033 W Bethany Home Rd, Glendale, AZ 85301","$1,026 - 1,497"
"5900 E Thomas Rd, Scottsdale, AZ 85251","$1,390 - 2,405"
"6640 E McDowell Rd, Scottsdale, AZ 85257","$1,529 - 1,957"
"7220 E McKellips Rd, Scottsdale, AZ 85257","$1,250 - 1,700"
"1700 N 103rd Ave, Avondale, AZ 85392","$1,420 - 2,485"
"7126 E Osborn Rd, Scottsdale, AZ 85251","$2,142 - 13,500"
"7355 E Thompson Peak Pky, Scottsdale, AZ 85255","$1,800 - 3,265"
"6400 E Thomas Rd, Scottsdale, AZ 85251","$1,648 - 4,158"
"5205 W Thunderbird Rd, Glendale, AZ 85306","$1,175 - 2,045"
"10030 N 43rd Ave, Glendale, AZ 85302","$1,070 - 2,070"
"17171 N 53rd Ave, Glendale, AZ 85308",Call for Rent
"6599 E Thomas Rd, Scottsdale, AZ 85251","$1,581 - 4,288"
"17030 N 49th St, Scottsdale, AZ 85254","$1,427 - 4,694"
"5615 W Acoma Dr, Glendale, AZ 85306","$1,575 - 1,675"
"10201 N 44th Dr, Glendale, AZ 85302","$985 - 1,430"
"5150 N 99th Ave, Glendale, AZ 85305","$1,335 - 1,629"
"6565 W Bethany Home Rd, Glendale, AZ 85301","$954 - 4,343"
"4600 N 24th St, Phoenix, AZ 85016","$1,800 - 3,410"
"4318 N 13th Pl, Phoenix, AZ 85014","$1,775"
"4313 N 19th Ave, Phoenix, AZ 85015","$1,300 - 1,450"
"1313 N 2nd St, Phoenix, AZ 85004","$1,580 - 3,160"
"7625 N 19th Ave, Phoenix, AZ 85021","$1,500 - 2,000"
"11025 S 51st St, Phoenix, AZ 85044","$1,510 - 2,395"
